標題,問題,回答
 糖尿病喝果汁,"鈞鑑: 我母親有糖尿病(平常有吃降血糖藥,最近一次飯前血糖138),請問我每天弄果汁給她喝有關係嗎(大約是蘋果,香蕉,葡萄之類,花粉,然後加一點有糖份的優酪乳)?需要把優酪乳排除在外嗎?謝謝您!","糖尿病患並非不能吃水果或喝果汁,只是量有限制,比一般人習慣吃的量要少許多,糖尿病患對糖也非完全禁忌也是量的考量"
 高齡糖尿病患者的照顧方式,"我家中有遺傳性的糖尿病史,目前奶奶和爸爸都有併發過,我想請問一下,像奶奶高齡糖 尿病(81歲),她適合吃碇式的維他命嗎??(像是維他命B,C,E,高蛋白粉。等等)這樣對 她身體會不會造成負擔??因為大伯是做直銷的營養食品,每次碰到奶奶生病,就一直說 吃她的營養食品就會好,開的藥物,導致奶奶的病情一直好不起 來,讓爸爸很困擾。如果奶奶可以吃營養食品,那哪些適合她攝取??另外再飲食上,有 什麼需要特別注意的嗎??謝謝~~ by Fiona",您好： 回覆您的問題。 糖尿病的治療方法，主要為飲食控制、規律運動與藥物治療；這三者一直是醫學界所認定的。需不需要補充維生素，視個人的狀況而定。高蛋白質的補充，可能會加重腎臟的的負擔，糖尿病患者必須以個案考量，至於，其他營養食品的補充也沒有一定的準則，一般不會建議的。 飲食、運動與藥物三者看似簡單，其實牽涉極為複雜，而且每一個案都有其特殊考量。討論，再做定奪。尤其，照顧者之間意見相左，討論，獲得共識。 的糖尿病衛教師討論為宜。謝謝！
 不想禿頭又不想得糖尿病,因為老公工作繁忙 很怕會禿頭 又他家族有糖尿病史 糖尿病患不能食用高膽固醇、高碘的食物 想保養頭髮又有人建議多食用肝臟、蛋黃、海蛋等食物 這兩樣剛好互相牴觸 請問 應該如何取捨呢?,糖尿病患確實應該少食用高膽固醇的食物 但是多食用肝臟、蛋黃、海蛋等食物能保養頭髮，則不清楚 先生到皮膚科門診諮詢
 糖尿病的病患,"有關一位糖尿病的病患,因血糖過高而昏迷不醒,在醫生治療下接受開刀, 開完刀後仍昏迷不醒. 請問: 糖尿病的病患血糖過高可以開刀嗎? 若開完刀後,仍昏迷不醒,那是不是成為植物人? 如果是植物人,那有沒有可能會醒來?",您好： 1、糖尿病患者的血糖過高時，儘量避免開刀，但是，有若干緊急狀況或較特殊的情形時，仍然會有開刀的急迫性。 2、植物人（Vegetation）狀態的確立，需要臨床的症狀、理學檢查與相關的生理功能測驗的佐證；至於，昏迷不醒的原因很多，必須逐項檢查，才能確定原因，治療才能更有效，或者才更能預測，是否能清醒過來。 3、植物人是否能醒來？如果在診斷正確的前提下，理論上要恢復清醒的機會極微。也就是說，大腦皮質的功能要完全恢復，機會不大，但是，需注意，有時要觀察數個月或更長的時間，才能這樣說。 4、討論詳細，才能有較完整的了解。 家醫科
 請問,"請問喝飲料是否會造成糖尿病,要避免糖尿病需要注意哪些呢","糖尿病大致分第一型糖尿病與第二型糖尿病.第一型糖尿病因胰島素分泌不足引起.第二型糖尿病因胰島素阻抗作用引起.二者的致病因尚未完全清楚.但已知肥胖會增加罹患第二型糖尿病的機會,因此若多喝含糖飲料及其他高熱量食物而導致肥胖的確會增加罹患第二型糖尿病的機會. 美國糖尿病預防計畫顯示：藉運動和飲食來減輕體重，可以預防糖尿病。因此建議您節制飲食，少吃高熱量的食物，盡量減輕體重,規律運動，持之以恆，以避免糖尿病的發生。 謝謝您的發問,祝您健康"
 糖尿病,"因家裡有糖尿病的患者,目前有在吃納豆精,請問這對糖尿病會有影響嗎? 謝謝","你好: 就我所能查到納豆精的成分為紅麴、納豆菌培養萃取液之原末、銀杏葉萃取物、β-胡蘿蔔素、維生素C、維生素E、維生素B1、維生素B2、維生素B6、維生素B12、葉酸、肌醇等。如果納豆精僅含這些成分,則應不會對血糖造成太大的影響. 但是如果納豆精中添加了澱粉, 糖尿病患者大量服用, 則所增加的熱量就可能對血糖有些許影響. 至於成分中的紅麴本身有降血脂的作用, 可能開立的降血脂藥物一起考慮, 避免因重複使用產生副作用，評估. 另外納豆的萃取物,也許其中含有所謂的納豆激脢. 此成分可能對血栓有溶解的作用,因此病人如果同時服用一些抗凝血藥物, 就必須進行評估其可能的交互作用. 而其他的成分含銀杏與維生素(特別是A,D,E,K), 只要不過量, 應可服用"
 糖尿病,三年前健檢說血醣在糖尿病邊緣要我注意 那時是空腹8小時血醣108 現在空腹血醣自量結果是103~125之間 這一個月來有過126及131(平均一周自量一次) 請問我這算糖尿病嗎 看了醫生醫生也模糊不清 給我抽血驗血醣值後 要我注意飲食多運動 我需要服藥嗎 到什麼狀況才需服藥? 我有口渴/多尿/頭暈現象/有時全身突然無力手軟腳軟/手腳麻 糖尿病判斷標準完全是以血醣值嗎 謝謝您,您好： 您應該有初期糖尿病，需要飲食控制、適量運動及定期回診監控
 請問,我想請問糖尿病患是否可以吃韓國高麗珍珠草？ 謝謝您,您好： 謹回覆如下 糖尿病的血糖控制以飲食控制與規律運動為主，必要時，輔以藥物的治療。這個看法在醫學界方面迄今，仍未改變。 所謂“韓國高麗珍珠草”號稱提煉自phyllantus niruri的藥草，是韓國傳統醫學的處方之一。但就現代西方醫學而言，尚未有正式的大型報告，支持治療糖尿病的說法。因此，個人偏向不建議服用。 希望以該糖尿病病患的病情、用藥及相關情況，討論，再做定奪為宜。 家醫科
 糖尿病導致後續法展問題,"請問有關糖尿病後續所引發的問題,給我這不安的心一些見解與醫療過程中是否哪裡有不當的研判 謝謝",您好： 回覆您的問題。 長期的糖尿病會引發慢性的併發症，包括腎病變、心臟病、腦血管病變、視網膜病變、神經病變、循環系統病變、牙周病等等，位，會因為高血糖的浸潤，產生各種不同程度的傷害。 老夫人因為腹膜透析的關係，引發腹膜炎，在臨床上並不少見。而在生命癥象不穩定或臨床狀況不佳時，加上腹膜炎的產生，改行血液透析，在醫學上，是可理解的。但是，在如此危急的狀況下，加上各器官的生理功能又不好，缺氧。如果缺氧時間過久，會產生缺氧性腦病變，導致意識無法恢復。這些變化常使家屬震驚無法接受，們很難處理。 整個疾病的過程，併發症的產生及處理，其實牽涉的因素多重而複雜，心平氣和地討論其處理及預後，甚至包括最壞的情形會怎樣，個人以為做好準備，是比較好的選擇。 家醫科 祝 健康
 糖尿病患者可以攝取的糖類有哪些?,"您好~ 我想請問糖尿病患者, 到底可以攝取哪些屬於天然萃取的糖類呢? 因為現在市面上有很多都是化學合成的糖, 吃多了是不是也會造成身體的負擔? 之前有看過一篇報導說:某些代糖食用過多也會致癌. 另外請問:三多的膳食纖維主成分是菊芋粉,菊芋粉是菊糖的一種嗎? 菊芋粉,糖尿病患者可以食用嗎?會不會引起血糖升高呢?~謝謝您~",您好： 回覆您的問題。 所謂「代糖（sugar substitutes）的發展，主要為了滿足人類對甜味本能的慾望。常見的有糖精（saccharin）、果糖（fructose）、阿斯巴甜（asporrtame）、山梨醇（sorbitol）、醋磺內酯鉀（aceswlfame k）等。如果蔗糖甜度為1，則山梨醇為5、甘露醇7、葡萄糖7、果糖7、阿斯巴甜10、糖精20。依據各揰疾病及食物的需求，選擇適當的甜味劑。糖精曾經被報告有致癌的可能。但是以目前市面上的代糖使用及管制，對於身體的傷害，還沒有確切不好的報告。 「三多」的產品很多，據述菊芋粉是由菊芋（inulin）萃取生成，屬於果糖的聚合物，為水溶性的膳食纖維。但人類缺乏分解此菊糖的酵素，所以理論上，服用後不會造成血糖值大量地升高。（菊芋號稱1公克僅產生熱量約23大卡）。 自然界中的糖類，包含各式各樣。糖尿病患的飲食控制，包括醣類、蛋白質、脂肪、礦物質、維生素、纖維素等等，宜一併考慮才好。甚至運動、藥物控制及生活型態的改變，都很重要
 糖尿病- 外食族的飲食諮詢,"因是外食族, 本身又有高血壓, 請問應如何控制飲食 ?",您好： 回覆您的問題。 外食的食物危機，在於高糖、高脂及高鹽的問題。因此，飲食方面強調充份的水果、蔬菜、低脂乳品、堅果等；避免高脂、高飽和脂肪酸（含反式脂肪）的食品。因此，多吃全穀類、家禽類或是魚類的食物，減少脂肪、紅肉、甜食與高糖飲料的攝取，便有助於血壓的控制。 除此之外，保持理想體重及每日至少30分鐘以上的中度以上的有氧運動，也是非常重要的。如果有抽煙的習慣，宜速戒除；並避免精神緊張及抒解壓力。 至於飲酒，只宜少量，以女性而言，每日允許量大約100cc以下的葡萄酒或40cc左右的威士忌。過量的飲酒，反而有害健康。 綜而言之，血壓的控制除了服用藥物之外，最主要的方法，是“生型形態”的改善，這是我們應該特別注意的。千萬不要只依賴藥物控制
 可能是糖尿病嗎,我因為口臭已經找了很多醫生了.可是問題並沒有解決令我很困擾 我的症狀是嚴重口臭.小便很多泡泡.有時會胸悶.精神不振. PS:我患有痛風.有吃藥控制中.還有2年前有驗糖尿病.結果是在患糖尿病的臨界點. 請醫生一定要幫幫我.我真的很痛苦,您好： 回覆您的問題。 口臭的原因很多，包括口腔、耳鼻喉科、、氣管、食道、胃、甚至於代謝的問題，而「小便起泡泡」一般要考慮蛋白尿、腎炎、泌尿道感染等等，也可能是正常的。此外，胸悶、精神不振的原因更多，包括心臟、或者精神方面等問題。至於，糖尿病的診斷除了空腹血糖的檢測之外，有時還要檢查飯後血糖、耐糖試驗等。 綜上所述，由於太多問題的混雜，無法逕行回答，討論、釐清後，再做定奪
 糖尿病,"請問患有高血壓與糖尿病的病患, 所開藥控制, 日常飲食應注意那些?蕃薯吃多了對糖尿病患有何影響?","一.高血壓與糖尿病的病患應攝取低糖和低鹽的食品.而糖尿病患者的飲食控制,對於血糖的控制甚為重要. 二.糖尿病的飲食原則條列如下: *遵循與共同協商的飲食計劃,養成定時定量的飲食習慣. *均衡飲食,依據飲食計劃適量攝取主食類,水果類,油脂類,奶類和肉魚豆蛋類. *多選用富含纖維質的食物,如:未加工的豆類,水果,蔬菜,全榖類. *少吃油炸,油煎,油炒和油酥的食物,以及豬皮,雞皮等油脂量高的食物. *避免攝食含膽固醇高的食物,如:腦,肝,蛋黃等. *飲食儘量清淡不可過嫌,避免攝食加工或醃製的食物,烹調食物改採燉,烤,燒,清蒸,水煮,涼拌等方式. *儘量少吃富含精緻糖類的食品如:糖果,煉乳,蜂蜜,汽水,罐裝或盒裝的果汁,加糖蜜餞,蛋捲,中西式甜點心,加糖罐頭等. *儘量避免喝酒. 三.蕃薯主要的成分為澱粉,在人體內會代謝成葡萄糖.所以蕃薯吃了會使血糖上升,故糖尿病患者不宜多吃"
 是糖尿病嗎?,您好: 我自從11月份開始就有血尿發生，照x光和超音波沒有結石也正常，尿驗結果是有白血球與紅血球，醫生是跟我說可能是尿道發炎，接著醫生告訴我說我的尿糖過多，驗尿兩次都是3+，驗尿是4+，而且也是從11接近大腿那裡的外側一直到接近腳底那都會酸痛，腳底和腳指也會微麻，我的情況是否就是糖尿病呢？還有糖尿病是如何發生的？該如何治療呢？,您好： 回覆您的問題。 糖尿病的診斷標準，一般而言為： 空腹8小時以上的血漿血糖值大於或等於126mg/dl。 臨床上有多喝、多尿、多吃、體重減輕等糖尿病症狀，同時任意血漿血糖值大於或等於200mg/dl。 口服葡萄糖耐量試驗2小時血漿血糖值大於或等於200mg/dl。 閣下尿糖為3+或4+，其血漿血糖值應在200mg/dl以上。因此，建議您速至內科或家庭醫學科門診診治。至於右下肢酸痛，小便有白血球與紅血球，可一併評估為宜。 糖尿病的原因很多，包括自體免疫抗體的破壞、胰島素分泌相對不足或胰島素阻抗。其治療以飲食控制、運動與藥物使用為主
 有關糖尿病用藥的分級,我本身是個糖尿病病人 平時有在服用Amaryl 及 Metformin 目前月經遲緩了13天 很擔心是否懷孕了 想請問我服用的這兩個藥物 分別是A B C D X 級的哪一級 我自昨天開始停用這兩種藥物 如果真的懷孕了 之前服用的劑量是否會對胎兒有不良的影響 心裡很焦急 請給我解答 謝謝,您好： 回覆您的問題。 根據美國藥物食品管制局（FDA）及臨床醫學的報告 Amaryl(Glimepiride)屬於class C，指在動物實驗內，對於胎兒有傷害；但是，缺乏人體試驗；甚而，連動物實驗的證據都闕如之類。因此，必要時，可以考慮謹慎使用。 Merformin屬於class B，指動物實驗顯示對胎兒沒有傷害，或都有傷害，但是缺乏人體試驗的證據，特別是在懷孕前期或後期。閣下罹有糖尿病，如果有懷孕的計畫，討論為宜。雖然，已經服用Amaryl和Metformin；理論上，可能不會有明顯傷害。但是，懷孕及哺乳的血糖控制，仍以胰島素注射為宜。詳細與確切的答案，討論較好
